timestamp,floor_1_temperature,floor_1_humidity,floor_1_occupancy,floor_1_energy_consumption,floor_1_water_usage,floor_1_refrigerator_power,floor_1_tv_led_55_power,floor_1_washing_machine_power,floor_1_air_conditioner_power,floor_1_electric_kettle_power,floor_1_coffee_machine_power,floor_1_gaming_pc_power,floor_1_smart_speaker_power,floor_1_security_camera_power,floor_1_robot_vacuum_power,floor_1_smart_doorbell_power,floor_1_hair_dryer_power,floor_2_temperature,floor_2_humidity,floor_2_occupancy,floor_2_energy_consumption,floor_2_water_usage,floor_2_refrigerator_power,floor_2_tv_led_55_power,floor_2_washing_machine_power,floor_2_air_conditioner_power,floor_2_electric_kettle_power,floor_2_coffee_machine_power,floor_2_gaming_pc_power,floor_2_smart_speaker_power,floor_2_security_camera_power,floor_2_robot_vacuum_power,floor_2_smart_doorbell_power,floor_2_hair_dryer_power,floor_3_temperature,floor_3_humidity,floor_3_occupancy,floor_3_energy_consumption,floor_3_water_usage,floor_3_refrigerator_power,floor_3_tv_led_55_power,floor_3_washing_machine_power,floor_3_air_conditioner_power,floor_3_electric_kettle_power,floor_3_coffee_machine_power,floor_3_gaming_pc_power,floor_3_smart_speaker_power,floor_3_security_camera_power,floor_3_robot_vacuum_power,floor_3_smart_doorbell_power,floor_3_hair_dryer_power,weather_temperature,weather_humidity,weather_condition,weather_wind_speed
2025-02-13 12:03:58,0.15,0.003,0.005,1.8,0.0,0.001,0.002,0.002,0.01,0.002,0.005,1.8,18.4,47.57,1,4.626,0.491,0.15,0.003,0.005,0.015,0.0,0.001,0.002,0.008,0.01,0.002,0.002,0.0,19.81,42.72,2,0.929,0.695,0.15,0.003,0.005,1.8,0.0,0.001,0.002,0.008,0.015,0.002,0.005,0.0,19.91,41.85,6,3.127,1.396,20,50,Clear,5
2025-02-13 12:03:58,0.15,0.003,0.005,0.015,0.0,0.001,0.002,0.002,0.01,0.002,0.002,0.0,18.71,42.85,1,0.932,0.485,0.15,0.003,0.005,0.015,0.0,0.001,0.002,0.002,0.01,0.002,0.002,0.0,19.16,45.99,1,0.902,0.525,0.15,0.003,0.005,0.015,0.0,0.001,0.002,0.002,0.015,0.002,0.002,0.0,19.69,45.59,0,0.727,0.306,20,50,Clear,5
2025-02-13 12:04:28,0.15,0.003,0.005,1.464,0.0,0.001,0.002,0.008,0.01,0.002,0.004,1.464,17.47,46.55,4,4.325,1.099,0.15,0.003,0.005,0.015,0.0,0.001,0.002,0.007,0.01,0.002,0.002,0.0,19.33,43.93,4,1.176,0.949,0.15,0.003,0.005,1.464,0.0,0.001,0.002,0.007,0.012,0.03,0.004,0.0,19.7,52.98,1,2.287,0.501,20,50,Clear,5
2025-02-13 12:04:29,0.122,0.003,0.005,0.015,0.0,0.001,0.002,0.002,0.012,0.002,0.005,0.0,19.45,47.53,1,0.81,0.548,0.124,0.003,0.005,0.015,0.0,0.001,0.5,0.002,0.015,0.002,0.004,0.0,18.61,50.04,0,1.402,0.32,0.122,0.003,0.005,0.015,1.5,0.001,0.002,0.008,0.012,0.03,0.004,0.0,19.55,45.06,6,2.861,1.557,20,50,Clear,5
2025-02-13 12:04:58,0.122,0.003,0.5,1.488,0.0,0.001,0.002,0.007,0.01,0.002,0.004,1.488,19.09,47.04,2,4.445,0.739,0.122,0.003,0.005,1.8,0.0,0.001,0.002,0.007,0.01,0.002,0.002,0.0,18.88,44.9,2,2.815,0.704,0.15,0.003,0.005,1.488,1.5,0.001,0.002,0.007,0.012,0.024,0.004,1.8,19.55,47.83,5,6.024,1.242,20,50,Clear,5
2025-02-13 12:04:59,0.126,0.003,0.005,1.8,0.0,0.001,0.002,0.007,0.013,0.002,0.004,0.0,18.43,49.85,1,2.844,0.53,0.128,0.003,0.005,1.464,0.0,0.001,0.413,0.007,0.012,0.002,0.004,1.8,18.74,51.97,1,4.584,0.509,0.126,0.003,0.407,1.464,1.24,0.001,0.002,0.007,0.013,0.025,0.004,0.0,20.06,44.13,2,4.041,0.687,20,50,Clear,5
2025-02-13 12:05:28,0.124,0.003,0.407,1.512,0.0,0.001,0.002,0.007,0.015,0.002,0.004,1.512,18.6,45.85,1,4.404,0.513,0.124,0.003,0.005,1.464,0.0,0.001,0.002,0.007,0.01,0.002,0.002,0.0,18.29,51.08,0,2.418,0.3,0.15,0.003,0.005,1.512,1.22,0.001,0.002,0.007,0.013,0.025,0.004,1.464,19.87,48.15,3,5.176,0.817,20,50,Clear,5
2025-02-13 12:05:29,0.128,0.003,0.005,1.464,0.0,0.001,0.5,0.007,0.013,0.002,0.004,0.0,18.17,48.21,0,2.865,0.288,0.13,0.003,0.005,1.488,0.0,0.001,0.42,0.007,0.013,0.002,0.004,1.464,19.18,47.98,0,4.15,0.294,0.128,0.003,0.413,1.488,1.26,0.001,0.002,0.007,0.013,0.025,0.004,0.0,18.97,47.75,5,4.535,1.28,20,50,Clear,5
2025-02-13 12:05:58,0.126,0.003,0.413,1.536,1.5,0.001,0.002,0.007,0.012,0.002,0.004,1.536,19.3,42.03,0,5.784,0.283,0.126,0.16,0.005,1.488,0.0,0.001,0.002,0.007,0.01,0.002,0.005,0.0,19.02,46.22,1,2.604,0.46,0.122,0.003,0.005,1.536,1.24,0.001,0.002,0.007,0.013,0.025,0.004,1.488,18.93,50.55,2,5.249,0.694,20,50,Clear,5
2025-02-13 12:05:59,0.13,0.16,0.005,1.488,0.0,0.001,0.407,0.007,0.013,0.002,0.004,0.0,18.58,43.08,1,3.034,0.506,0.132,0.003,0.005,1.512,0.0,0.001,0.427,0.007,0.013,0.002,0.004,1.488,19.76,47.4,3,4.411,0.897,0.13,0.003,0.42,1.512,1.28,0.001,0.002,0.007,0.013,0.026,0.004,0.0,18.89,43.8,3,4.339,0.879,20,50,Clear,5
2025-02-13 12:06:28,0.128,0.003,0.42,1.559,1.22,0.001,0.002,0.007,0.012,0.002,0.004,1.559,17.57,48.85,2,6.042,0.699,0.128,0.13,0.005,1.512,0.0,0.001,0.002,0.007,0.01,0.002,0.004,0.0,18.34,44.84,0,2.617,0.288,0.124,0.003,0.005,1.559,1.26,1.2,0.002,0.007,0.013,0.026,0.004,1.512,19.26,50.51,1,6.431,0.49,20,50,Clear,5
2025-02-13 12:06:29,0.134,0.132,0.005,1.536,1.22,0.001,0.42,0.007,0.013,0.024,0.004,1.8,18.73,48.62,1,6.104,0.457,0.136,0.003,0.005,1.559,1.22,1.2,0.44,0.007,0.013,0.002,0.004,1.536,18.85,47.32,2,6.969,0.715,0.134,0.003,0.433,1.559,1.319,0.001,0.407,0.007,0.014,0.026,0.004,0.0,19.68,47.47,1,4.511,0.463,20,50,Clear,5
